순번,정류장명,위도,경도, 
427,봉곡사입구,36.70415468 ,126.97935902 , 
428,유곡1리마을회관,36.70474570 ,126.98544020 , 
429,유곡1깊은골,36.70302305 ,126.97528404 , 
430,유곡1깊은골,36.70291480 ,126.97531270 , 
431,유곡1리,36.70427500 ,126.98958910 , 
432,유곡2리입구,36.69571330 ,126.98867620 , 
433,송학2리,36.68285469 ,126.99068066 , 
434,거산1용두원,36.67650302 ,126.98993400 , 
435,거산1리 거산골,36.67349304 ,126.98936567 , 
436,거산1리회관,36.66840490 ,126.98913670 , 
437,거산2리 성골,36.66141806 ,126.98694067 , 
438,각홀고개,36.65293110 ,126.98311010 , 
439,문금2리적바위,36.63946473 ,126.99020071 , 
440,검단,36.64116830 ,126.99930400 , 
441,문금2리,36.64017471 ,126.99551236 , 
442,문금2리,36.64007139 ,126.99530732 , 
443,마곡리입구,36.70372250 ,127.00067630 , 
444,마곡1리,36.69709660 ,127.00411120 , 
445,마곡리입구,36.70386610 ,127.00052430 , 
446,마곡리입구,36.70378637 ,127.00052735 , 
447,검단리종점,36.64155040 ,126.99800380 , 
448,신정호관광지,36.77218975 ,126.98205404 , 
449,신인동 전의실,36.76034969 ,126.99103066 , 
450,기산1통,36.75756490 ,126.96943990 , 
452,초사초등학교입구,36.75369139 ,126.97551902 , 
453,초사1통 갱티,36.74455870 ,126.96927740 , 
454,점량동,36.76666308 ,126.97108399 , 
455,동화1리,36.72535474 ,126.97064238 , 
456,동화2리 배골,36.72326473 ,126.97388067 , 
457,동화2리,36.72198636 ,126.97941402 , 
458,동화2리 분토골,36.72215802 ,126.98701232 , 
459,동화리 송악저수지,36.72176010 ,126.98940290 , 
460,동화리 송악저수지,36.72190135 ,126.98931233 , 
461,동화2리 분토골,36.72215670 ,126.98729500 , 
462,동화2리,36.72208590 ,126.97928870 , 
